supplier_id,location_id,supplier_name,account_number,account_name,tax_code
97,20,Village Cheese and Yoghurt,5-1110,Milk/Yoghurt/Cheese,FRE
98,20,Supreme Quality Foods,5-1170,Grocery/Miscellaneous,GST
100,20,Fernhill farm,,,
103,20,Tibaldi,,,
140,20,Mauro Bros,,,
142,20,TMA Australia Pty Limited,,,
201,20,Chai Spice Beverages,,,
309,20,Provincial Produce,,,
314,20,ELT Packaging,,,
443,20,Restock,,,
450,20,Street Ice Cream,,,
452,20,Nippys,,,
455,20,Mr Donut,,,
458,20,SATO Australia Pty Ltd,,,
460,20,SCHWOBS SWISS BAKERY,,,
463,20,kjtest,,,
537,20,Butcher Meat Vic,,,
539,20,Ecolab,,,
544,20,Chefs Choice Meat,,,
418,20,Asahi Beverages Pty Ltd Footscray,,,
99,20,G and T Chicken,,,
29,20,Coffico,,,
486,20,Pac Food,,,
712,20,Sweet Heart New,,,
203,20,Prime Gold Goods,,,
14,20,Ribbons and Bows,,,
3,20,YBS Foods,,,
381,20,Long Fine Hospitality Supplies Pty LTD,,,
2,20,Bega (BDD Australia Pty Ltd) Footscray,,,
17,20,Costa Cookies Footscray,,,
30,20,Jannah Foods,,,
393,20,Melissa Cakes,,,
